City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
379,Alta Floresta,BR,74.48,overcast clouds,-9.8756,-56.0861,Villas Hotel
391,Rocha,UY,75.85,clear sky,-34.4833,-54.3333,Hotel Municipal
397,Mbandaka,CD,72.79,broken clouds,0.0487,18.2603,Hôtel Epervier
407,Daru,PG,80.1,overcast clouds,-9.0763,143.2092,Kuki
410,Port Blair,IN,79.48,overcast clouds,11.6667,92.75,Andaman Ocean Breeze
413,Port-Gentil,GA,80.56,light rain,-0.7193,8.7815,Tara-Mé
414,Kimbe,PG,77.63,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
427,Inhambane,MZ,75.49,broken clouds,-23.865,35.3833,Hotel de Inhambane
431,Santa Rosa,PH,77.11,overcast clouds,14.3122,121.1114,JARS RESORT
433,Kupang,ID,78.71,overcast clouds,-10.1667,123.5833,BIB & LANG GUEST HOUSE
445,Chipoka,MW,71.62,overcast clouds,-13.9933,34.5157,The Fish House & Cichlids Lodge
449,Horana,LK,71.42,broken clouds,6.7166,80.0619,Lotus Grandview
458,Makakilo City,US,79.02,few clouds,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
460,Sibu,MY,73.29,overcast clouds,2.3,111.8167,The Paramount Hotel
464,Gizo,SB,82.9,light rain,-8.103,156.8419,Gizo Hotel
465,Santa Cruz Cabralia,BR,77.23,broken clouds,-16.2781,-39.0247,Campo Bahia Resort
467,Isangel,VU,83.93,clear sky,-19.55,169.2667,Tanna Lodge
482,Toamasina,MG,73.98,light rain,-18.1667,49.3833,Androranga
498,Sao Gabriel Da Cachoeira,BR,76.86,overcast clouds,-0.1303,-67.0892,Casa de Hóspedes do CFRN/5ºBIS
499,Buchanan,LR,79.43,overcast clouds,5.8808,-10.0467,Phillipmena's Guesthouse
506,Sao Jose Da Coroa Grande,BR,79.97,scattered clouds,-8.8978,-35.1478,Hotel do Sol
511,Vieques,PR,82.85,scattered clouds,18.425,-65.8329,Gran Meliá Puerto Rico Golf Resort
521,Niquelandia,BR,72.5,light rain,-14.4739,-48.4597,Serrano Hotel
524,Cairns,AU,77.07,broken clouds,-16.9167,145.7667,Cairns Queens Court Accommodation
526,Dzaoudzi,YT,82.29,clear sky,-12.7887,45.2699,2.0 hôtel
527,Cidreira,BR,71.56,clear sky,-30.1811,-50.2056,Hotel Castelo
533,Rosarito,MX,74.25,broken clouds,32.3333,-117.0333,WorldMark La Paloma
536,Benguela,AO,74.5,broken clouds,-12.5763,13.4055,Hotel Moibela
544,El Sauz,MX,71.69,few clouds,20.4667,-100.1,Mision San Gil
548,Balikpapan,ID,76.19,light rain,-1.2675,116.8289,Hotel Grand Senyiur
551,Mamallapuram,IN,75.25,overcast clouds,12.6264,80.1722,Radisson Temple Bay
553,Valparaiso,CL,82.04,clear sky,-33.0393,-71.6273,Ibis Hotel
558,Nova Olimpia,BR,85.23,broken clouds,-14.7972,-57.2881,Olímpia Hotel
564,Linhares,BR,71.44,overcast clouds,-19.3911,-40.0722,Days Inn Linhares
566,Necochea,AR,89.44,overcast clouds,-38.5473,-58.7368,Cabañas Río Quequén
574,Berbera,SO,75.34,scattered clouds,10.4396,45.0143,Al Madina Hotel
575,Wewak,PG,79.43,moderate rain,-3.5534,143.6268,Village Inn
585,Diamantino,BR,83.98,scattered clouds,-14.4086,-56.4461,Hotel kayaby
588,Morondava,MG,77.16,overcast clouds,-20.2833,44.2833,Hotel Sharon Menabe
604,Nouadhibou,MR,71.58,clear sky,20.931,-17.0347,Hotel valencia
609,Sabang,ID,80.46,overcast clouds,5.8933,95.3214,Sabang Hill
611,Martapura,ID,77.09,moderate rain,-3.4167,114.85,Q-Hotel Grand Dafam
614,Vallenar,CL,85.08,clear sky,-28.5708,-70.7581,Hotel del Marqués
616,Pangkalanbuun,ID,74.3,overcast clouds,-2.6833,111.6167,Hotel Tiara
617,Parrita,CR,87.26,broken clouds,9.5201,-84.3225,Hotel Paraíso Carlisa
624,Alto Araguaia,BR,79.32,broken clouds,-17.3147,-53.2153,Hotel Araguaia
626,Tual,ID,83.84,overcast clouds,-5.6667,132.75,Suita
652,Mersing,MY,74.84,moderate rain,2.4312,103.8405,Mersing Inn Hotel
656,Bubaque,GW,81.72,broken clouds,11.2833,-15.8333,Chez Julio
660,Grand-Bourg,GP,80.8,clear sky,15.8835,-61.3148,Coco Beach Resort
662,Noumea,NC,82.38,clear sky,-22.2763,166.4572,Hotel Gondwana
667,Aquin,HT,80.17,clear sky,18.2833,-73.4,Hotel Aldy
669,Carazinho,BR,83.64,scattered clouds,-28.2839,-52.7864,San Remo Hotel
683,Acapulco,MX,85.82,clear sky,16.8634,-99.8901,Hotel del Valle
684,Puerto Madryn,AR,77.59,overcast clouds,-42.7692,-65.0385,Hotel Gran Palace
688,Taltal,CL,72.23,few clouds,-25.4,-70.4833,Hostería Taltal
691,Puerto Baquerizo Moreno,EC,76.19,broken clouds,-0.9,-89.6,Dory's House
